id,name,province_id
264,Đức Thọ,25
265,Hà Tĩnh,25
266,Hồng Lĩnh,25
267,Hương Khê,25
268,Hương Sơn,25
269,Kỳ Anh,25
270,Kỳ Anh,25
271,Lộc Hà,25
272,Nghi Xuân,25
273,Thạch Hà,25
274,Vũ Quang,25
275,Bình Giang,26
276,Cẩm Giàng,26
277,Chí Linh,26
278,Gia Lộc,26
279,Hải Dương,26
280,Kim Thành,26
281,Kinh Môn,26
282,Nam Sách,26
283,Ninh Giang,26
284,Thanh Hà,26
285,Thanh Miện,26
286,Tứ Kỳ,26
287,An Dương,27
288,An Lão,27
289,Bạch Long Vĩ,27
290,Cát Hải,27
291,Dương Kinh,27
292,Đồ Sơn,27
293,Hải An,27
294,Hồng Bàng,27
295,Kiến An,27
296,Kiến Thụy,27
297,Lê Chân,27
298,Ngô Quyền,27
299,Thuỷ Nguyên,27
300,Tiên Lãng,27
301,Vĩnh Bảo,27
302,Châu Thành,29
303,Châu Thành A,29
304,Long Mỹ,29
305,Long Mỹ,29
306,Ngã Bảy,29
307,Phụng Hiệp,29
308,Vị Thanh,29
309,Vị Thủy,29
310,Cao Phong,28
311,Đà Bắc,28
312,Hoà Bình,28
313,Kim Bôi,28
314,Kỳ Sơn,28
315,Lạc Sơn,28
316,Lạc Thủy,28
317,Lương Sơn,28
318,Mai Châu,28
319,Tân Lạc,28
320,Yên Thủy,28
321,Ân Thi,30
322,Hưng Yên,30
323,Khoái Châu,30
324,Kim Động,30
325,Mỹ Hào,30
326,Phù Cừ,30
327,Tiên Lữ,30
328,Văn Giang,30
329,Văn Lâm,30
330,Yên Mỹ,30
331,Cam Lâm,32
332,Cam Ranh,32
333,Diên Khánh,32
334,Khánh Sơn,32
335,Khánh Vĩnh,32
336,Nha Trang,32
337,Ninh Hòa,32
338,Trường Sa,32
339,Vạn Ninh,32
340,An Biên,33
341,An Minh,33
342,Châu Thành,33
343,Giang Thành,33
344,Giồng Riềng,33
345,Gò Quao,33
346,Hà Tiên,33
347,Hòn Đất,33
348,Kiên Hải,33
349,Kiên Lương,33
350,Phú Quốc,33
351,Rạch Giá,33
352,Tân Hiệp,33
353,U Minh Thượng,33
354,Vĩnh Thuận,33
355,Đắk Glei,34
356,Đắk Hà,34
357,Đăk Tô,34
358,Ia H'Drai,34
359,Kon Plông,34
360,Kon Rẫy,34
361,Kon Tum,34
362,Ngọc Hồi,34
363,Sa Thầy,34
364,Tu Mơ Rông,34
365,Lai Châu,35
366,Mường Tè,35
367,Nậm Nhùn,35
368,Phong Thổ,35
369,Sìn Hồ,35
370,Tam Đường,35
371,Tân Uyên,35
372,Than Uyên,35
373,Bảo Lâm,38
374,Bảo Lộc,38
375,Cát Tiên,38
376,Di Linh,38
377,Đà Lạt,38
378,Đạ Huoai,38
379,Đạ Tẻh,38
380,Đam Rông,38
381,Đơn Dương,38
382,Đức Trọng,38
383,Lạc Dương,38
384,Lâm Hà,38
385,Bắc Sơn,37
386,Bình Gia,37
387,Cao Lộc,37
388,Chi Lăng,37
389,Đình Lập,37
390,Hữu Lũng,37
391,Lạng Sơn,37
392,Lộc Bình,37
393,Tràng Định,37
394,Vãn Lãng,37
395,Văn Quan,37
396,Bảo Thắng,36
397,Bảo Yên,36
398,Bát Xát,36
399,Bắc Hà,36
400,Lào Cai,36
401,Mường Khương,36
402,Sa Pa,36
403,Si Ma Cai,36
404,Văn Bàn,36
405,Bến Lức,39
406,Cần Đước,39
407,Cần Giuộc,39
408,Châu Thành,39
409,Đức Hòa,39
410,Đức Huệ,39
411,Kiến Tường,39
412,Mộc Hóa,39
413,Tân An,39
414,Tân Hưng,39
415,Tân Thạnh,39
416,Tân Trụ,39
417,Thạnh Hóa,39
418,Thủ Thừa,39
419,Vĩnh Hưng,39
420,Giao Thủy,40
421,Hải Hậu,40
422,Mỹ Lộc,40
423,Nam Định,40
424,Nam Trực,40
425,Nghĩa Hưng,40
426,Trực Ninh,40
427,Vụ Bản,40
428,Xuân Trường,40
429,Ý Yên,40
430,Anh Sơn,41
431,Con Cuông,41
432,Cửa Lò,41
433,Diễn Châu,41
434,Đô Lương,41
435,Hoàng Mai,41
436,Hưng Nguyên,41
437,Kỳ Sơn,41
438,Nam Đàn,41
439,Nghi Lộc,41
440,Nghĩa Đàn,41
441,Quế Phong,41
442,Quỳ Châu,41
443,Quỳ Hợp,41
444,Quỳnh Lưu,41
445,Tân Kỳ,41
446,Thái Hòa,41
447,Thanh Chương,41
448,Tương Dương,41
449,Vinh,41
450,Yên Thành,41
451,Gia Viễn,42
452,Hoa Lư,42
453,Kim Sơn,42
454,Nho Quan,42
455,Ninh Bình,42
456,Tam Điệp,42
457,Yên Khánh,42
458,Yên Mô,42
459,Bác Ái,43
460,Ninh Hải,43
461,Ninh Phước,43
462,Ninh Sơn,43
463,Phan Rang-Tháp Chàm,43
464,Thuận Bắc,43
465,Thuận Nam,43
466,Cẩm Khê,44
467,Đoan Hùng,44
468,Hạ Hòa,44
469,Lâm Thao,44
470,Phú Thọ,44
471,Phù Ninh,44
472,Tam Nông,44
473,Tân Sơn,44
474,Thanh Ba,44
475,Thanh Sơn,44
476,Thanh Thủy,44
477,Việt Trì,44
478,Yên Lập,44
479,Đông Hòa,45
480,Đồng Xuân,45
481,Phú Hòa,45
482,Sông Cầu,45
483,Sông Hinh,45
484,Sơn Hòa,45
485,Tây Hòa,45
486,Tuy An,45
487,Tuy Hòa,45
488,Ba Đồn,46
489,Bố Trạch,46
490,Đồng Hới,46
491,Lệ Thủy,46
492,Minh Hóa,46
493,Quảng Ninh,46
494,Quảng Trạch,46
495,Tuyên Hóa,46
496,Bắc Trà My,47
497,Duy Xuyên,47
498,Đại Lộc,47
499,Điện Bàn,47
500,Đông Giang,47
501,Hiệp Đức,47
502,Hội An,47
503,Nam Giang,47
504,Nam Trà My,47
505,Nông Sơn,47
506,Núi Thành,47
507,Phú Ninh,47
508,Phước Sơn,47
509,Quế Sơn,47
510,Tam Kỳ,47
511,Tây Giang,47
512,Thăng Bình,47
513,Tiên Phước,47
514,Ba Tơ,48
